id,id_tei,name,county,state,latitude,longitude,notes,place_type,alternate,Date,,,,,
,coalb,Coalbrookdale,,England,,,,placeName,,,,,,,
,coatc,Coats's Camp,,,,,may have been a joke,placeName,,,,,,,
,codor,Codorus Creek,,Pennsylvania,39.74504,76.8314,,geogName,,,,,,,
,coeym,Coeymans,,New York,42.2826,73.4732,"Albany County, NY",placeName,"Coyeman, Cojemans, Quemanstown, Coeyman's patent",,,,,,
,cohoc,Cohocton River,,New York,42.56602,77.536045,"Flows 58 miles SSE until it feeds into the Chemung River below Painted Post, NY",geogName,,,,,,,
,coho1,Cohorst,,Vermont,,,Cohorse,placeName,,,,,,,?? Not sure if person or place ??
,crun1,Cold Run,,,,,,geogName,,,,,,,
,colds,Cold Spring,,New York,41.42,73.9546,In Putnam County,placeName,,,,,,,
,colum,Columbia,,,,,12 miles from Lancaster,placeName,,,,,,,
,conan,Conandarque,,,,,,placeName,,,,,,,
,conal,Conandarque Lake,,,,,,geogName,,,,,,,
,conco,Concord,,,,,,placeName,,,,,,,
,cones,Conescotago,,,,,,placeName,"Coniscotago, Conishadaga",,,,,,
,cones2,Conestoga,,,,,,placeName,Conestogoe,,,,,,
,concr,Conewago Creek,,Pennsylvania,,"80 miles Long, stretches from York, PA to Franklin Township, PA",,geogName,"Connowongo, Conewango",,,,,,
,conmo,Conewago Mountains,,Pennsylvania,40.0467,76.858,"Northern York  County, PA",geogName,"Connowaga, Conowogo",,,,,,
,conew,Conewango,,New York,42.238,79.031,,placeName,,,,,,,
,conis,Conishadaga,,,,,,placeName,,,,,,,
,connt,Connecticut,,Connecticut,41.6,72.7,,placeName,,,,,,,
,conntr,Connecticut River,,,,,,geogName,,,,,,,
,conne,Connellsville,,Pennsylvania,40.058,79.3524,"Fayette County, PA",placeName,Conalds-Ville,,,,,,
,conne1,Connelstown,,,,,,placeName,"Possibly, McConnellstown, PA",,,,,,
,conoc,Conococheague Creek,,Pennsylvania,39.3602,77.4942,"Runs 80 miles, originates above Chamersburg, PA and ends near Williamsport, MD with the Potomac River",geogName,Conogocheak,,,,,,
,conod,Conodoguinet Creek,,Pennsylvania,40.1617,76.5449,104 miles long. Water divide between Conodoguinet Creek and Conococheague Creek separates Hagerstown Valley and Cumberland Valley,geogName,,,,,,,
,conol,Conoley's Tavern,,New York,,,,placeName,,,,,,,
,conyc,Conyconeys,,,,,stream,geogName,,,,,,,
,coope,Cooper River,,New Jersey,39.925,75.0701,"16 miles long, tributary of Delaware River",geogName,"Coopers Creek, Cooper Creek",,,,,,
,coopt,Cooperstown,,New York,42.7,74.9243,,placeName,,,,,,,
,cores,Core Sound,,North Carolina,34.849,76.3434,"East of Sealevel, NC",geogName,,,,,,,
